SZ000963	2013-12-31	2024-06-28
SZ000970	2013-12-31	2015-12-31
SZ000983	2013-12-31	2024-06-28
SZ000999	2013-12-31	2024-06-28
SZ002001	2013-12-31	2024-06-28
SZ002007	2013-12-31	2024-06-28
SZ002024	2013-12-31	2022-06-30
SZ002038	2013-12-31	2016-06-30
SZ002051	2013-12-31	2015-12-31
SZ002065	2013-12-31	2019-12-31
SZ002069	2013-12-31	2014-06-30
SZ002081	2013-12-31	2020-06-30
SZ002106	2013-12-31	2014-12-30
SZ002129	2013-12-31	2024-06-28
SZ002142	2013-12-31	2024-06-28
SZ002146	2013-12-31	2021-06-30
SZ002155	2013-12-31	2014-06-30
SZ002202	2013-12-31	2024-06-28
SZ002230	2013-12-31	2024-06-28
SZ002236	2013-12-31	2024-06-28
SZ002241	2013-12-31	2024-06-28
SZ002269	2013-12-31	2014-12-30
SZ002294	2013-12-31	2020-06-30
SZ002299	2013-12-31	2017-12-29
SZ002304	2013-12-31	2024-06-28
SZ002310	2013-12-31	2019-12-31
SZ002344	2013-12-31	2015-12-31
SZ002353	2013-12-31	2016-06-30
SZ002375	2013-12-31	2016-06-30
SZ002385	2013-12-31	2018-12-28
SZ002399	2013-12-31	2016-12-30
SZ002415	2013-12-31	2024-06-28
SZ002422	2013-12-31	2021-06-30
SZ002431	2013-12-31	2014-06-30
SZ002450	2013-12-31	2019-06-28
SZ002456	2013-12-31	2021-12-31
SZ002500	2013-12-31	2018-12-28
SZ002570	2013-12-31	2015-12-31
SZ002594	2013-12-31	2024-06-28
SZ002603	2013-12-31	2024-06-28
SZ002653	2013-12-31	2015-12-31
SZ002673	2013-12-31	2021-12-31
SH600023	2014-07-01	2024-06-28
SH600277	2014-07-01	2015-12-31
SH600633	2014-07-01	2016-06-30
SH600867	2014-07-01	2020-12-31
SH600880	2014-07-01	2015-06-30
SH600998	2014-07-01	2021-06-30
SH601179	2014-07-01	2016-12-30
SH601216	2014-07-01	2023-12-28
SH601225	2014-07-01	2024-06-28
SH601929	2014-07-01	2015-12-31
SH603699	2014-07-01	2015-06-30
SZ000027	2014-07-01	2017-06-30
SZ000413	2014-07-01	2020-06-30
SZ000503	2014-07-01	2019-06-28
SZ000883	2014-07-01	2016-12-30
SZ000917	2014-07-01	2017-12-29
SZ002008	2014-07-01	2023-06-30
SZ002252	2014-07-01	2024-06-28
SZ002292	2014-07-01	2018-06-29
SZ002400	2014-07-01	2015-06-30
SZ002410	2014-07-01	2024-06-28
SZ002416	2014-07-01	2015-06-30
SZ002429	2014-07-01	2015-06-30
SZ002465	2014-07-01	2018-06-29
SZ002470	2014-07-01	2018-12-28
SZ002475	2014-07-01	2024-06-28
SH600038	2014-12-31	2020-12-31
SH600373	2014-12-31	2018-12-28
SH600398	2014-12-31	2020-12-31
SH600485	2014-12-31	2018-06-29
SH600570	2014-12-31	2024-06-28
SH600578	2014-12-31	2016-12-30
SH601727	2014-12-31	2021-12-31
SH603288	2014-12-31	2024-06-28
SZ000559	2014-12-31	2018-12-28
SZ000825	2014-12-31	2016-12-30
SZ000898	2014-12-31	2020-06-30
SZ002153	2014-12-31	2021-12-31
SZ300015	2014-12-31	2024-06-28
SZ300017	2014-12-31	2020-06-30
SZ300024	2014-12-31	2020-06-30
SZ300027	2014-12-31	2018-12-28
SZ300058	2014-12-31	2017-06-30
SZ300070	2014-12-31	2020-06-30
SZ300124	2014-12-31	2024-06-28
SZ300133	2014-12-31	2017-12-29
SZ300146	2014-12-31	2017-06-30
SZ300251	2014-12-31	2019-12-31
SZ000166	2015-01-30	2024-06-28
SZ000738	2015-05-29	2018-06-29
SZ300003	2015-05-29	2022-12-30
SH600005	2015-07-01	2017-02-28
SH600317	2015-07-01	2016-12-30
SH600717	2015-07-01	2016-06-30
SH600958	2015-07-01	2024-06-28
SH601021	2015-07-01	2024-06-28
SH601788	2015-07-01	2024-06-28
SH601919	2015-07-01	2024-06-28
SH601969	2015-07-01	2016-06-30
SZ000539	2015-07-01	2016-06-30
SZ000712	2015-07-01	2017-06-30
SZ002736	2015-07-01	2024-06-28
SZ300002	2015-07-01	2017-06-30
SZ300059	2015-07-01	2024-06-28
SZ300104	2015-07-01	2017-12-29
SH600021	2016-01-04	2018-06-29
SH600350	2016-01-04	2016-06-30
SH600820	2016-01-04	2018-12-28
SH600959	2016-01-04	2018-12-28
SH601016	2016-01-04	2016-12-30
SH601198	2016-01-04	2021-06-30
SH601211	2016-01-04	2024-06-28
SH601608	2016-01-04	2018-06-29
SH601718	2016-01-04	2018-12-28
SH601872	2016-01-04	2024-06-28
SH601985	2016-01-04	2024-06-28
SH603885	2016-01-04	2017-06-30
SZ000415	2016-01-04	2020-06-30
SZ000540	2016-01-04	2018-12-28
SZ001979	2016-01-04	2024-06-28
SZ002195	2016-01-04	2017-12-29
SZ002739	2016-01-04	2021-12-31
SZ300144	2016-01-04	2022-06-30
SZ300315	2016-01-04	2018-06-29
SH600022	2016-07-01	2016-12-30
SH600037	2016-07-01	2017-12-29
SH600061	2016-07-01	2024-06-28
SH600074	2016-07-01	2018-06-29
SH600098	2016-07-01	2016-12-30
SH600446	2016-07-01	2017-12-29
SH600606	2016-07-01	2024-06-28
SH600666	2016-07-01	2017-06-30
SH600685	2016-07-01	2018-06-29
SH600704	2016-07-01	2019-12-31
SH600737	2016-07-01	2017-12-29
SH600816	2016-07-01	2020-06-30
SH600871	2016-07-01	2018-06-29
SZ000977	2016-07-01	2024-06-28
SZ002027	2016-07-01	2024-06-28
SZ002152	2016-07-01	2017-12-29
SZ002183	2016-07-01	2017-12-29
SZ002424	2016-07-01	2018-06-29
SZ002568	2016-07-01	2022-12-30
SZ300085	2016-07-01	2017-06-30
SZ300168	2016-07-01	2017-12-29
SH600297	2017-01-03	2021-06-30
SH600482	2017-01-03	2021-12-31
SH600654	2017-01-03	2017-06-30
SH600754	2017-01-03	2024-06-28
SH601127	2017-01-03	2017-12-29
SH601155	2017-01-03	2024-06-28
SH601611	2017-01-03	2019-06-28
SH601877	2017-01-03	2024-06-28
SZ000008	2017-01-03	2018-06-29
SZ000555	2017-01-03	2017-12-29
SZ000627	2017-01-03	2021-06-30
SZ000671	2017-01-03	2021-06-30
SZ000938	2017-01-03	2024-06-28
SZ002049	2017-01-03	2024-06-28
SZ002074	2017-01-03	2024-06-28
SZ002085	2017-01-03	2019-06-28
SZ002131	2017-01-03	2017-12-29
SZ002174	2017-01-03	2018-06-29
SZ002426	2017-01-03	2018-06-29
SZ002466	2017-01-03	2024-06-28
SZ002714	2017-01-03	2024-06-28
SZ002797	2017-01-03	2019-06-28
SZ300033	2017-01-03	2024-06-28
SZ300072	2017-01-03	2019-12-31
SZ300182	2017-01-03	2017-06-30
SH600233	2017-07-03	2024-06-28
SH600522	2017-07-03	2021-12-31
SH600682	2017-07-03	2018-12-28
SH600909	2017-07-03	2019-06-28
SH600919	2017-07-03	2024-06-28
SH600926	2017-07-03	2024-06-28
SH600977	2017-07-03	2020-12-31
SH601163	2017-07-03	2018-06-29
SH601229	2017-07-03	2024-06-28
SH601375	2017-07-03	2018-06-29
SH601881	2017-07-03	2024-06-28
SH601966	2017-07-03	2023-06-30
SH601997	2017-07-03	2020-12-31
SH603160	2017-07-03	2022-12-30
SH603858	2017-07-03	2019-12-31
SZ000959	2017-07-03	2019-06-28
SZ002044	2017-07-03	2022-06-30
SZ002352	2017-07-03	2024-06-28
SZ002411	2017-07-03	2020-06-30
SZ002508	2017-07-03	2021-12-31
SZ002555	2017-07-03	2024-06-28
SZ002558	2017-07-03	2021-12-31
SZ002602	2017-07-03	2023-06-30
SZ002831	2017-07-03	2018-06-29
SZ002839	2017-07-03	2018-06-29
SZ002841	2017-07-03	2024-06-28
SH600390	2018-01-02	2021-06-30
SH601012	2018-01-02	2024-06-28
SH601212	2018-01-02	2020-12-31
SH601228	2018-01-02	2019-12-31
SH601878	2018-01-02	2024-06-28
SH603799	2018-01-02	2024-06-28
SH603833	2018-01-02	2024-06-28
SZ000723	2018-01-02	2023-12-28
SZ002460	2018-01-02	2024-06-28
SZ002468	2018-01-02	2020-12-31
SZ002572	2018-01-02	2019-06-28
SZ002601	2018-01-02	2024-06-28
SZ002608	2018-01-02	2018-12-28
SZ002624	2018-01-02	2022-06-30
SZ300122	2018-01-02	2024-06-28
SZ300136	2018-01-02	2021-12-31
SH600025	2018-07-02	2024-06-28
SH600176	2018-07-02	2024-06-28
SH600339	2018-07-02	2019-12-31
SH600346	2018-07-02	2024-06-28
SH600438	2018-07-02	2024-06-28
SH600487	2018-07-02	2021-06-30
SH601108	2018-07-02	2022-06-30
SH601360	2018-07-02	2024-06-28
SH601828	2018-07-02	2020-12-31
SH601838	2018-07-02	2024-06-28
SH603260	2018-07-02	2024-06-28
SZ000786	2018-07-02	2024-06-28
SZ001965	2018-07-02	2019-06-28
SZ002050	2018-07-02	2024-06-28
SZ002493	2018-07-02	2024-06-28
SZ002625	2018-07-02	2019-12-31
SZ002925	2018-07-02	2019-12-31
SZ300408	2018-07-02	2024-06-28
SZ300433	2018-07-02	2024-06-28
SH600004	2019-01-02	2021-06-30
SH600566	2019-01-02	2020-06-30
SH600760	2019-01-02	2024-06-28
SH601066	2019-01-02	2024-06-28
SH601138	2019-01-02	2024-06-28
